acasa_gold,Acasa Gold,Films,RO: Acasa Gold TV|Ro: Acasa Gold
acasa_hd,Acasa HD,Films,RO: ACASA HD
acasa,Acasa,Films,RO: Acasa Tv|Ro: Acasa TV|[ RO ] ACASA TV|ACASA TV
accent,Accent,,RO:ACCENT TV
actualitatea,Actualitatea,,RO: Actualitatea TV
acum,Acum,,RO:ACUM TV|RO: Acum TV
agrotv,Agro TV,News,RO: Agro TV|Ro: Agro Tv|AGRO TV
alfa_omega,Alfa & Omega,Religious,RO:ALFA OMEGA|RO: ALFA OMEGA TV|Ro: Alfa & Omega
amc_ro,AMC RO,Films,RO: AMC RO
amc,AMC,Films,RO: AMC|[ RO ] AMC
animal_planet_hd,Animal Planet HD,Educational,RO: Animal Planet HD
animal_planet,Animal Planet,Educational,RO: ANIMAL PLANET|Ro: Animal Planet|[ RO ] Animal Planet
antena_monden,Antena Monden,,RO:ANTENA MONDEN
antena_stars_hd,Antena Stars HD,General,RO: ANTENA STARS HD
antena_stars,Antena Stars,General,RO:ANTENA STARS|RO: ANTENA STARS|RO: Antena Stars|Ro: Antena Stars|[ RO ] Antena Stars|ANTENA STARS
antena1_hd,Antena 1 HD,General,RO: Antena 1 HD
antena1,Antena 1,General,RO:ANTENA 1|RO: ANTENA 1|RO: Antena 1|Ro: Antena1|[ RO ] Antena 1|ANTENA 1
antena3_hd,Antena 3 HD,News,RO: ANTENA 3 HD
antena3,Antena 3,News,RO: Antena 3|Ro: Antena 3|[ RO ] Antena 3|ANTENA 3
auto_motor_sport,Auto Motor Sport,Sport,RO: Auto Motor Sport
axn_black,AXN Black,Films,RO: AXN BLACK|Ro: AXN Black
axn_hd,AXN HD,Films,RO: AXN HD
axn_ro,AXN Romania,Films,RO: AXN ROMANIA|Ro: AXN Romania|AXN ROMANIA
axn_spin,AXN Spin,Films,RO: AXN SPIN
axn_white,AXN White,Films,RO: AXN WHITE|RO: AXN White|Ro: AXN White|AXN WHITE
axn_with,AXN With,Films,RO: AXN WITH
axn,AXN,Films,RO: AXN
b1tv,B1,News,RO: B1|RO: B1 Tv|Ro: B1|[ RO ] B1
bbc_earth_hd,BBC Earth HD,Educational,RO: BBC Earth HD
bollywood_classic,Bollywood Classic,Films,RO:BOLLYWOOD CLASSIC
bollywood,Bollywood,Films,RO:BOLYWOOD TV
boomerang,Boomerang,Kids,RO: BOOMERANG|RO: Boomerang|Ro: Boomerang|[ RO ] Boomerang|BOOMERANG
canal2,Canal 2,,RO:CANAL 2 HD
canal3,Canal 3,,RO:CANAL 3 HD
cartoonnetwork,Cartoon Network,Kids,Ro: Cartoon Network
cbs_reality,CBS Reality,Lifestyle,RO: CBS Reality
ci,CI,,Ro: CI
cinemax_hd_ro,CineMAX HD RO,Films,[ RO ] Cinemax HD RO
cinemax_hd,CineMAX HD,Films,RO:CINEMAX HD
cinemax_megamax_ro,CineMAX / Megamax RO,Films,[ RO ] Cinemax/Megamax RO
cinemax2_hd,CineMAX 2 HD,Films,RO: Cinemax 2 HD
cinemax2,CineMAX 2,Films,RO: Cinemax 2|Ro: Cinemax2|[ RO ] Cinemax 2|CINEMAX 2
cinemaxro,CineMAX RO,Films,Ro: Cinemax Ro|CINEMAX RO
cinethronix,Cinethronix,Films,Ro: Ciné Thronix
comedycentral,Comedy Central,Films,RO: COMEDY CENTRAL|Ro: Comedy Central
cromtel,Cromtel,Local,RO:CROMTEL TV
dibitv,Dibi TV,Music,[ RO ]DIBI TV (Music) Balkan
digi_animal_world_hd,Digi Animal World HD,Educational,RO: Digi Animal World HD
digi_animal_world,Digi Animal World,Educational,RO:DIGI ANIMAL WORLD|RO: Digi Animal World|Ro: Digi Animal World|[ RO ] Digi Animal World|DIGI ANIMAL WORLD
digi_film,Digi Film,Films,RO:DIGI FILM|Ro: Digi Film|DIGI FILM
digi_life_hd,Digi Life HD,Educational,RO: Digi Life HD
digi_life,Digi Life,Educational,RO:DIGI LIFE|RO: Digi Life|Ro: Digi Life|[ RO ] Digi Life|DIGI LIFE
digi_sport1_hd,Digi Sport 1,Sport,RO:DIGI SPORT 1 HD|RO: DIGI SPORT 1 HD
digi_sport1,Digi Sport 1,Sport,RO:DIGI SPORT 1|RO: Digi Sport 1|RO: DIGI SPORT 1|[ RO ] DIGI Sport 1|DIGI SPORT 1
digi_sport2_hd,Digi Sport 2,Sport,RO:DIGI SPORT 2 HD|RO: DIGI SPORT 2 HD
digi_sport2,Digi Sport 2,Sport,RO:DIGI SPORT 2|RO: Digi Sport 2|RO: DIGI SPORT 2|[ RO ] DIGI Sport 2|DIGI SPORT 2
digi_sport3_hd,Digi Sport 3,Sport,RO:DIGI SPORT 3 HD|RO: DIGI SPORT 3 HD
digi_sport3,Digi Sport 3,Sport,RO:DIGI SPORT 3|RO: Digi Sport 3|RO: DIGI SPORT 3|[ RO ] DIGI Sport 3|DIGI SPORT 3
digi_sport4_hd,Digi Sport 4,Sport,RO:DIGI SPORT 4 HD|RO: DIGI SPORT 4 HD
digi_sport4,Digi Sport 4,Sport,RO:DIGI SPORT 4|RO: Digi Sport 4|RO: DIGI SPORT 4|[ RO ] Digi Sport 4|DIGI SPORT 4
digi_sports1,Digi Sports 1,Sport,[ RO ] DIGI SPORTS 1
digi_sports2,Digi Sports 2,Sport,[ RO ] DIGI SPORTS 2
digi_sports3,Digi Sports 3,Sport,[ RO ] DIGI SPORTS 3
digi_sports4,Digi Sports 4,Sport,[ RO ] DIGI SPORTS 4
digi_world_hd,Digi World HD,Educational,RO: Digi World HD
